,name,corner,opponent,event,outcome,method,Round,Time,Significant_strikes,Total_strikes,KDs,TDs,Sub_Atts,Reversals,Control_time,Sig_Str_head,Sig_Str_body,Sig_Str_leg,Sig_Str_distance,Sig_Str_clinch,Sig_Str_ground
2158,Darren Till,red,Jorge Masvidal,UFC Fight Night: Till vs. Masvidal,L,KO/TKO,ROUND: 2,TIME: 3:05,21 of 43,22 of 44,1,1 of 1,0,0,0:55,17 of 39,3 of 3,1 of 1,20 of 39,1 of 2,0 of 2
2159,Jorge Masvidal,blue,Darren Till,UFC Fight Night: Till vs. Masvidal,W,KO/TKO,ROUND: 2,TIME: 3:05,35 of 72,41 of 79,1,1 of 2,0,0,0:47,18 of 51,10 of 12,7 of 9,31 of 65,3 of 6,1 of 1
2160,Leon Edwards,red,Gunnar Nelson,UFC Fight Night: Till vs. Masvidal,W,Decision - Split,ROUND: 3,TIME: 5:00,31 of 49,47 of 69,1,2 of 3,0,0,3:29,17 of 30,13 of 17,1 of 2,4 of 16,16 of 19,11 of 14
2161,Gunnar Nelson,blue,Leon Edwards,UFC Fight Night: Till vs. Masvidal,L,Decision - Split,ROUND: 3,TIME: 5:00,9 of 18,27 of 38,0,3 of 4,0,0,4:23,3 of 10,4 of 5,2 of 3,4 of 12,5 of 6,0 of 0
2162,Volkan Oezdemir,red,Dominick Reyes,UFC Fight Night: Till vs. Masvidal,L,Decision - Split,ROUND: 3,TIME: 5:00,35 of 99,48 of 112,0,1 of 7,0,0,1:33,24 of 81,4 of 6,7 of 12,30 of 91,5 of 7,0 of 1
2163,Dominick Reyes,blue,Volkan Oezdemir,UFC Fight Night: Till vs. Masvidal,W,Decision - Split,ROUND: 3,TIME: 5:00,44 of 121,47 of 124,0,0 of 2,0,0,0:00,16 of 81,16 of 26,12 of 14,41 of 117,3 of 4,0 of 0
2164,Nathaniel Wood,red,Jose Quinonez,UFC Fight Night: Till vs. Masvidal,W,Submission,ROUND: 2,TIME: 2:46,30 of 81,39 of 91,0,2 of 3,2,1,1:12,14 of 53,4 of 9,12 of 19,27 of 76,3 of 5,0 of 0
2165,Jose Quinonez,blue,Nathaniel Wood,UFC Fight Night: Till vs. Masvidal,L,Submission,ROUND: 2,TIME: 2:46,34 of 60,35 of 61,0,1 of 4,0,0,1:48,7 of 28,5 of 6,22 of 26,33 of 59,1 of 1,0 of 0
2166,Danny Roberts,red,Claudio Silva,UFC Fight Night: Till vs. Masvidal,L,Submission,ROUND: 3,TIME: 2:37,26 of 45,29 of 48,0,0 of 0,0,3,3:11,24 of 43,2 of 2,0 of 0,6 of 18,2 of 2,18 of 25
2167,Claudio Silva,blue,Danny Roberts,UFC Fight Night: Till vs. Masvidal,W,Submission,ROUND: 3,TIME: 2:37,19 of 38,35 of 56,0,3 of 5,4,0,6:13,10 of 28,2 of 3,7 of 7,11 of 26,1 of 1,7 of 11
2168,Jack Marshman,red,John Phillips,UFC Fight Night: Till vs. Masvidal,W,Decision - Split,ROUND: 3,TIME: 5:00,31 of 149,31 of 149,0,0 of 0,0,0,0:00,19 of 135,10 of 11,2 of 3,31 of 149,0 of 0,0 of 0
2169,John Phillips,blue,Jack Marshman,UFC Fight Night: Till vs. Masvidal,L,Decision - Split,ROUND: 3,TIME: 5:00,32 of 95,35 of 99,1,0 of 0,0,0,0:36,15 of 70,8 of 15,9 of 10,29 of 90,3 of 5,0 of 0
2170,Arnold Allen,red,Jordan Rinaldi,UFC Fight Night: Till vs. Masvidal,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,37 of 111,41 of 117,1,0 of 0,0,0,0:59,25 of 90,10 of 13,2 of 8,35 of 102,0 of 1,2 of 8
2171,Jordan Rinaldi,blue,Arnold Allen,UFC Fight Night: Till vs. Masvidal,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,30 of 104,30 of 105,0,0 of 3,0,0,0:00,5 of 61,6 of 13,19 of 30,30 of 103,0 of 1,0 of 0
2172,Marc Diakiese,red,Joe Duffy,UFC Fight Night: Till vs. Masvidal,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,63 of 106,80 of 125,1,3 of 4,0,0,4:27,19 of 56,22 of 25,22 of 25,55 of 94,6 of 9,2 of 3
2173,Joe Duffy,blue,Marc Diakiese,UFC Fight Night: Till vs. Masvidal,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,15 of 60,24 of 71,0,1 of 3,0,0,0:35,8 of 50,3 of 6,4 of 4,14 of 58,1 of 1,0 of 1
2174,Nicolae Negumereanu,red,Saparbeg Safarov,UFC Fight Night: Till vs. Masvidal,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,11 of 27,20 of 36,0,0 of 0,0,0,0:00,5 of 17,3 of 7,3 of 3,7 of 19,4 of 8,0 of 0
2175,Saparbeg Safarov,blue,Nicolae Negumereanu,UFC Fight Night: Till vs. Masvidal,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,70 of 86,139 of 156,0,3 of 5,0,0,10:45,60 of 74,2 of 2,8 of 10,16 of 24,4 of 6,50 of 56
2176,Danny Henry,red,Dan Ige,UFC Fight Night: Till vs. Masvidal,L,Submission,ROUND: 1,TIME: 1:17,4 of 7,4 of 7,0,0 of 0,0,0,0:00,2 of 5,1 of 1,1 of 1,4 of 7,0 of 0,0 of 0
2177,Dan Ige,blue,Danny Henry,UFC Fight Night: Till vs. Masvidal,W,Submission,ROUND: 1,TIME: 1:17,10 of 17,10 of 17,1,1 of 1,1,0,0:31,7 of 14,3 of 3,0 of 0,4 of 8,0 of 0,6 of 9
2178,Molly McCann,red,Priscila Cachoeira,UFC Fight Night: Till vs. Masvidal,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,107 of 197,110 of 200,0,2 of 11,2,1,1:14,81 of 167,13 of 16,13 of 14,90 of 169,12 of 21,5 of 7
2179,Priscila Cachoeira,blue,Molly McCann,UFC Fight Night: Till vs. Masvidal,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,75 of 234,77 of 238,0,0 of 0,0,0,1:06,54 of 206,15 of 21,6 of 7,68 of 222,7 of 12,0 of 0
2180,Mike Grundy,red,Nad Narimani,UFC Fight Night: Till vs. Masvidal,W,KO/TKO,ROUND: 2,TIME: 4:42,33 of 56,36 of 59,1,1 of 3,0,0,1:03,32 of 54,1 of 2,0 of 0,20 of 40,9 of 11,4 of 5
2181,Nad Narimani,blue,Mike Grundy,UFC Fight Night: Till vs. Masvidal,L,KO/TKO,ROUND: 2,TIME: 4:42,22 of 95,22 of 95,0,0 of 1,0,0,0:00,16 of 82,1 of 5,5 of 8,20 of 91,2 of 4,0 of 0
2182,Derrick Lewis,red,Junior Dos Santos,UFC Fight Night: Lewis vs. Dos Santos,L,KO/TKO,ROUND: 2,TIME: 1:58,7 of 25,7 of 25,0,0 of 0,0,0,0:02,2 of 17,3 of 6,2 of 2,7 of 24,0 of 0,0 of 1
2183,Junior Dos Santos,blue,Derrick Lewis,UFC Fight Night: Lewis vs. Dos Santos,W,KO/TKO,ROUND: 2,TIME: 1:58,29 of 55,29 of 55,1,0 of 0,0,0,0:11,15 of 37,7 of 10,7 of 8,20 of 35,6 of 11,3 of 9
2184,Elizeu Zaleski dos Santos,red,Curtis Millender,UFC Fight Night: Lewis vs. Dos Santos,W,Submission,ROUND: 1,TIME: 2:35,6 of 9,10 of 13,0,1 of 1,1,0,2:08,4 of 6,1 of 1,1 of 2,3 of 4,0 of 0,3 of 5
2185,Curtis Millender,blue,Elizeu Zaleski dos Santos,UFC Fight Night: Lewis vs. Dos Santos,L,Submission,ROUND: 1,TIME: 2:35,0 of 1,0 of 1,0,0 of 0,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
2186,Tim Means,red,Niko Price,UFC Fight Night: Lewis vs. Dos Santos,L,KO/TKO,ROUND: 1,TIME: 4:50,31 of 48,35 of 54,0,1 of 1,0,0,1:51,27 of 44,3 of 3,1 of 1,24 of 39,1 of 2,6 of 7
2187,Niko Price,blue,Tim Means,UFC Fight Night: Lewis vs. Dos Santos,W,KO/TKO,ROUND: 1,TIME: 4:50,32 of 67,36 of 73,1,0 of 0,0,0,0:02,21 of 48,3 of 9,8 of 10,23 of 52,4 of 9,5 of 6
2188,Blagoy Ivanov,red,Ben Rothwell,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,72 of 178,73 of 179,0,0 of 0,0,0,0:00,50 of 156,19 of 19,3 of 3,70 of 175,2 of 3,0 of 0
2189,Ben Rothwell,blue,Blagoy Ivanov,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,70 of 163,70 of 163,0,0 of 0,0,0,0:00,47 of 135,6 of 10,17 of 18,69 of 162,1 of 1,0 of 0
2190,Beneil Dariush,red,Drew Dober,UFC Fight Night: Lewis vs. Dos Santos,W,Submission,ROUND: 2,TIME: 4:41,37 of 65,41 of 69,0,2 of 5,1,0,5:17,22 of 47,12 of 14,3 of 4,17 of 39,10 of 14,10 of 12
2191,Drew Dober,blue,Beneil Dariush,UFC Fight Night: Lewis vs. Dos Santos,L,Submission,ROUND: 2,TIME: 4:41,31 of 58,38 of 66,0,0 of 0,0,0,1:01,17 of 44,9 of 9,5 of 5,17 of 43,14 of 15,0 of 0
2192,Tim Boetsch,red,Omari Akhmedov,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,41 of 97,64 of 121,0,0 of 2,0,0,0:02,20 of 66,12 of 20,9 of 11,32 of 85,9 of 12,0 of 0
2193,Omari Akhmedov,blue,Tim Boetsch,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,52 of 135,58 of 141,0,0 of 2,0,0,3:14,32 of 110,13 of 17,7 of 8,35 of 113,17 of 22,0 of 0
2194,Anthony Rocco Martin,red,Sergio Moraes,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,50 of 152,70 of 172,0,0 of 0,0,1,2:12,29 of 123,4 of 5,17 of 24,48 of 150,2 of 2,0 of 0
2195,Sergio Moraes,blue,Anthony Rocco Martin,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,19 of 83,24 of 88,0,3 of 3,0,0,1:27,13 of 75,5 of 7,1 of 1,19 of 82,0 of 0,0 of 1
2196,Marion Reneau,red,Yana Kunitskaya,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,58 of 142,64 of 148,0,1 of 1,0,0,0:20,42 of 121,10 of 14,6 of 7,54 of 133,2 of 3,2 of 6
2197,Yana Kunitskaya,blue,Marion Reneau,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,98 of 223,113 of 239,0,1 of 1,0,0,2:51,35 of 138,27 of 40,36 of 45,78 of 197,19 of 23,1 of 3
2198,Grant Dawson,red,Julian Erosa,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,57 of 128,86 of 166,0,6 of 11,1,0,10:07,48 of 115,2 of 5,7 of 8,28 of 75,5 of 12,24 of 41
2199,Julian Erosa,blue,Grant Dawson,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,49 of 85,70 of 109,0,0 of 0,1,0,0:17,37 of 67,9 of 15,3 of 3,30 of 62,8 of 10,11 of 13
2200,Maurice Greene,red,Jeff Hughes,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Split,ROUND: 3,TIME: 5:00,70 of 161,72 of 163,0,0 of 0,0,0,0:19,42 of 114,10 of 20,18 of 27,58 of 145,12 of 16,0 of 0
2201,Jeff Hughes,blue,Maurice Greene,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Split,ROUND: 3,TIME: 5:00,66 of 143,67 of 144,0,0 of 1,0,0,0:45,42 of 107,11 of 15,13 of 21,62 of 139,4 of 4,0 of 0
2202,Louis Smolka,red,Matt Schnell,UFC Fight Night: Lewis vs. Dos Santos,L,Submission,ROUND: 1,TIME: 3:18,13 of 24,14 of 25,0,0 of 0,0,0,1:18,9 of 17,1 of 2,3 of 5,12 of 23,0 of 0,1 of 1
2203,Matt Schnell,blue,Louis Smolka,UFC Fight Night: Lewis vs. Dos Santos,W,Submission,ROUND: 1,TIME: 3:18,14 of 40,16 of 42,0,1 of 1,2,0,0:28,11 of 35,2 of 4,1 of 1,13 of 39,1 of 1,0 of 0
2204,Alex Morono,red,Zak Ottow,UFC Fight Night: Lewis vs. Dos Santos,W,KO/TKO,ROUND: 1,TIME: 3:34,25 of 55,25 of 55,0,0 of 0,1,1,0:31,22 of 50,3 of 5,0 of 0,10 of 28,0 of 0,15 of 27
2205,Zak Ottow,blue,Alex Morono,UFC Fight Night: Lewis vs. Dos Santos,L,KO/TKO,ROUND: 1,TIME: 3:34,10 of 31,10 of 31,0,1 of 1,0,0,0:06,6 of 20,2 of 7,2 of 4,10 of 31,0 of 0,0 of 0
2206,Alex White,red,Dan Moret,UFC Fight Night: Lewis vs. Dos Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,49 of 82,70 of 104,0,2 of 3,3,0,3:27,31 of 63,17 of 18,1 of 1,27 of 51,22 of 31,0 of 0
2207,Dan Moret,blue,Alex White,UFC Fight Night: Lewis vs. Dos Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,42 of 88,50 of 96,0,1 of 9,0,0,7:35,29 of 71,6 of 9,7 of 8,16 of 51,20 of 30,6 of 7
2208,Jon Jones,red,Anthony Smith,UFC 235: Jones vs. Smith,W,Decision - Unanimous,ROUND: 5,TIME: 5:00,125 of 167,238 of 287,0,3 of 8,0,0,12:59,45 of 80,35 of 40,45 of 47,64 of 102,31 of 34,30 of 31
2209,Anthony Smith,blue,Jon Jones,UFC 235: Jones vs. Smith,L,Decision - Unanimous,ROUND: 5,TIME: 5:00,36 of 66,45 of 75,0,0 of 0,0,0,0:00,15 of 40,9 of 14,12 of 12,31 of 59,5 of 7,0 of 0
2210,Tyron Woodley,red,Kamaru Usman,UFC 235: Jones vs. Smith,L,Decision - Unanimous,ROUND: 5,TIME: 5:00,34 of 51,60 of 79,0,0 of 1,0,0,0:00,12 of 28,18 of 19,4 of 4,10 of 24,24 of 27,0 of 0
2211,Kamaru Usman,blue,Tyron Woodley,UFC 235: Jones vs. Smith,W,Decision - Unanimous,ROUND: 5,TIME: 5:00,141 of 194,336 of 390,0,2 of 6,0,0,18:13,56 of 104,83 of 87,2 of 3,27 of 73,78 of 82,36 of 39
2212,Robbie Lawler,red,Ben Askren,UFC 235: Jones vs. Smith,L,Submission,ROUND: 1,TIME: 3:20,26 of 29,30 of 33,0,1 of 1,0,0,0:33,21 of 24,5 of 5,0 of 0,1 of 2,9 of 9,16 of 18
2213,Ben Askren,blue,Robbie Lawler,UFC 235: Jones vs. Smith,W,Submission,ROUND: 1,TIME: 3:20,0 of 1,3 of 5,0,1 of 2,1,0,1:59,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
2214,Tecia Torres,red,Zhang Weili,UFC 235: Jones vs. Smith,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,30 of 62,33 of 65,0,0 of 1,0,0,1:08,14 of 41,5 of 7,11 of 14,25 of 54,2 of 3,3 of 5
2215,Zhang Weili,blue,Tecia Torres,UFC 235: Jones vs. Smith,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,63 of 142,118 of 204,0,2 of 8,0,1,4:40,29 of 76,6 of 21,28 of 45,43 of 117,6 of 8,14 of 17
2216,Cody Garbrandt,red,Pedro Munhoz,UFC 235: Jones vs. Smith,L,KO/TKO,ROUND: 1,TIME: 4:52,21 of 60,21 of 60,0,0 of 0,0,0,0:04,19 of 50,1 of 6,1 of 4,20 of 59,0 of 0,1 of 1
2217,Pedro Munhoz,blue,Cody Garbrandt,UFC 235: Jones vs. Smith,W,KO/TKO,ROUND: 1,TIME: 4:52,25 of 47,28 of 51,1,0 of 1,0,0,0:21,16 of 36,3 of 3,6 of 8,18 of 38,1 of 2,6 of 7
2218,Jeremy Stephens,red,Zabit Magomedsharipov,UFC 235: Jones vs. Smith,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,41 of 121,45 of 125,0,0 of 0,0,0,0:01,20 of 92,11 of 16,10 of 13,41 of 121,0 of 0,0 of 0
2219,Zabit Magomedsharipov,blue,Jeremy Stephens,UFC 235: Jones vs. Smith,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,70 of 129,83 of 146,0,3 of 8,0,0,2:37,43 of 95,12 of 17,15 of 17,60 of 117,1 of 1,9 of 11
2220,Misha Cirkunov,red,Johnny Walker,UFC 235: Jones vs. Smith,L,KO/TKO,ROUND: 1,TIME: 0:36,1 of 2,1 of 2,0,0 of 0,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
2221,Johnny Walker,blue,Misha Cirkunov,UFC 235: Jones vs. Smith,W,KO/TKO,ROUND: 1,TIME: 0:36,4 of 8,4 of 8,1,0 of 0,0,0,0:04,4 of 8,0 of 0,0 of 0,1 of 2,0 of 0,3 of 6
2222,Cody Stamann,red,Alejandro Perez,UFC 235: Jones vs. Smith,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,48 of 121,49 of 122,0,0 of 8,0,0,1:22,21 of 77,19 of 30,8 of 14,46 of 117,2 of 4,0 of 0
2223,Alejandro Perez,blue,Cody Stamann,UFC 235: Jones vs. Smith,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,41 of 121,51 of 133,0,1 of 2,0,0,0:29,17 of 87,8 of 13,16 of 21,33 of 108,3 of 8,5 of 5
2224,Diego Sanchez,red,Mickey Gall,UFC 235: Jones vs. Smith,W,KO/TKO,ROUND: 2,TIME: 4:13,56 of 87,61 of 92,0,4 of 4,0,0,5:57,37 of 63,13 of 18,6 of 6,7 of 28,10 of 11,39 of 48
2225,Mickey Gall,blue,Diego Sanchez,UFC 235: Jones vs. Smith,L,KO/TKO,ROUND: 2,TIME: 4:13,23 of 65,35 of 80,0,0 of 0,0,0,0:19,19 of 59,2 of 3,2 of 3,8 of 44,9 of 14,6 of 7
2226,Edmen Shahbazyan,red,Charles Byrd,UFC 235: Jones vs. Smith,W,KO/TKO,ROUND: 1,TIME: 0:38,13 of 21,13 of 21,1,0 of 0,0,0,0:02,13 of 20,0 of 0,0 of 1,4 of 10,7 of 7,2 of 4
2227,Charles Byrd,blue,Edmen Shahbazyan,UFC 235: Jones vs. Smith,L,KO/TKO,ROUND: 1,TIME: 0:38,1 of 6,1 of 6,0,0 of 1,0,0,0:03,0 of 5,0 of 0,1 of 1,1 of 6,0 of 0,0 of 0
2228,Gina Mazany,red,Macy Chiasson,UFC 235: Jones vs. Smith,L,KO/TKO,ROUND: 1,TIME: 1:49,14 of 25,24 of 36,0,0 of 0,0,0,0:00,6 of 16,6 of 7,2 of 2,13 of 24,1 of 1,0 of 0
2229,Macy Chiasson,blue,Gina Mazany,UFC 235: Jones vs. Smith,W,KO/TKO,ROUND: 1,TIME: 1:49,25 of 49,25 of 49,1,0 of 0,0,0,0:27,15 of 37,9 of 11,1 of 1,18 of 41,3 of 3,4 of 5
2230,Polyana Viana,red,Hannah Cifers,UFC 235: Jones vs. Smith,L,Decision - Split,ROUND: 3,TIME: 5:00,77 of 174,125 of 236,0,0 of 0,0,0,0:00,29 of 114,28 of 39,20 of 21,65 of 162,8 of 8,4 of 4
2231,Hannah Cifers,blue,Polyana Viana,UFC 235: Jones vs. Smith,W,Decision - Split,ROUND: 3,TIME: 5:00,67 of 155,91 of 182,1,0 of 0,0,0,4:38,21 of 83,31 of 48,15 of 24,54 of 138,8 of 8,5 of 9
2232,Jan Blachowicz,red,Thiago Santos,UFC Fight Night: Blachowicz vs. Santos,L,KO/TKO,ROUND: 3,TIME: 0:39,20 of 53,20 of 53,0,0 of 1,0,0,0:05,7 of 31,6 of 12,7 of 10,19 of 51,1 of 2,0 of 0
2233,Thiago Santos,blue,Jan Blachowicz,UFC Fight Night: Blachowicz vs. Santos,W,KO/TKO,ROUND: 3,TIME: 0:39,52 of 104,52 of 104,1,1 of 1,0,0,0:08,21 of 58,5 of 10,26 of 36,38 of 82,1 of 1,13 of 21
2234,Stefan Struve,red,Marcos Rogerio de Lima,UFC Fight Night: Blachowicz vs. Santos,W,Submission,ROUND: 2,TIME: 2:21,0 of 3,2 of 7,0,1 of 1,1,0,1:50,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0,0 of 0
2235,Marcos Rogerio de Lima,blue,Stefan Struve,UFC Fight Night: Blachowicz vs. Santos,L,Submission,ROUND: 2,TIME: 2:21,25 of 32,68 of 79,1,0 of 0,0,0,5:16,18 of 25,7 of 7,0 of 0,1 of 6,0 of 0,24 of 26
2236,Gian Villante,red,Michal Oleksiejczuk,UFC Fight Night: Blachowicz vs. Santos,L,KO/TKO,ROUND: 1,TIME: 1:34,9 of 20,9 of 20,0,0 of 0,0,0,0:00,6 of 12,0 of 4,3 of 4,9 of 20,0 of 0,0 of 0
2237,Michal Oleksiejczuk,blue,Gian Villante,UFC Fight Night: Blachowicz vs. Santos,W,KO/TKO,ROUND: 1,TIME: 1:34,14 of 22,14 of 22,1,0 of 0,0,0,0:02,10 of 18,4 of 4,0 of 0,13 of 19,0 of 0,1 of 3
2238,Liz Carmouche,red,Lucie Pudilova,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,14 of 29,40 of 56,0,3 of 3,2,0,5:58,3 of 12,4 of 8,7 of 9,9 of 24,2 of 2,3 of 3
2239,Lucie Pudilova,blue,Liz Carmouche,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,33 of 105,57 of 133,0,0 of 1,2,1,1:18,13 of 77,3 of 6,17 of 22,15 of 81,2 of 4,16 of 20
2240,John Dodson,red,Petr Yan,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,30 of 81,35 of 86,1,2 of 8,0,0,0:37,18 of 65,8 of 11,4 of 5,25 of 73,4 of 7,1 of 1
2241,Petr Yan,blue,John Dodson,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,80 of 155,102 of 180,0,2 of 5,0,0,1:29,61 of 131,16 of 20,3 of 4,61 of 134,15 of 17,4 of 4
2242,Magomed Ankalaev,red,Klidson Abreu,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,30 of 67,66 of 107,1,1 of 3,0,0,5:48,22 of 55,6 of 9,2 of 3,18 of 51,6 of 9,6 of 7
2243,Klidson Abreu,blue,Magomed Ankalaev,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,23 of 62,32 of 73,0,0 of 5,0,0,0:28,10 of 41,8 of 15,5 of 6,16 of 53,7 of 9,0 of 0
2244,Dwight Grant,red,Carlo Pedersoli Jr.,UFC Fight Night: Blachowicz vs. Santos,W,KO/TKO,ROUND: 1,TIME: 4:59,20 of 53,22 of 55,1,0 of 0,0,0,0:05,14 of 47,2 of 2,4 of 4,12 of 44,2 of 3,6 of 6
2245,Carlo Pedersoli Jr.,blue,Dwight Grant,UFC Fight Night: Blachowicz vs. Santos,L,KO/TKO,ROUND: 1,TIME: 4:59,17 of 45,17 of 45,0,1 of 5,0,0,0:19,7 of 32,9 of 11,1 of 2,14 of 41,3 of 4,0 of 0
2246,Daniel Teymur,red,Chris Fishgold,UFC Fight Night: Blachowicz vs. Santos,L,Submission,ROUND: 2,TIME: 1:10,17 of 33,31 of 50,0,1 of 1,0,0,1:18,14 of 29,3 of 3,0 of 1,7 of 20,1 of 2,9 of 11
2247,Chris Fishgold,blue,Daniel Teymur,UFC Fight Night: Blachowicz vs. Santos,W,Submission,ROUND: 2,TIME: 1:10,14 of 32,19 of 39,0,5 of 10,2,0,3:07,13 of 31,1 of 1,0 of 0,8 of 21,4 of 5,2 of 6
2248,Veronica Macedo,red,Gillian Robertson,UFC Fight Night: Blachowicz vs. Santos,L,Submission,ROUND: 2,TIME: 3:27,23 of 41,35 of 59,0,1 of 1,0,2,1:50,21 of 38,2 of 3,0 of 0,8 of 25,2 of 2,13 of 14
2249,Gillian Robertson,blue,Veronica Macedo,UFC Fight Night: Blachowicz vs. Santos,W,Submission,ROUND: 2,TIME: 3:27,5 of 8,10 of 14,0,2 of 4,1,3,4:27,5 of 7,0 of 1,0 of 0,4 of 7,0 of 0,1 of 1
2250,Damir Hadzovic,red,Marco Polo Reyes,UFC Fight Night: Blachowicz vs. Santos,W,KO/TKO,ROUND: 2,TIME: 2:03,58 of 109,70 of 121,0,2 of 3,0,0,2:19,48 of 98,6 of 7,4 of 4,30 of 69,2 of 2,26 of 38
2251,Marco Polo Reyes,blue,Damir Hadzovic,UFC Fight Night: Blachowicz vs. Santos,L,KO/TKO,ROUND: 2,TIME: 2:03,24 of 107,26 of 109,0,0 of 0,0,0,0:00,13 of 88,4 of 12,7 of 7,24 of 105,0 of 2,0 of 0
2252,Michel Prazeres,red,Ismail Naurdiev,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,15 of 35,25 of 47,0,3 of 13,0,1,5:59,11 of 29,2 of 4,2 of 2,11 of 30,1 of 1,3 of 4
2253,Ismail Naurdiev,blue,Michel Prazeres,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,63 of 103,105 of 157,0,0 of 1,1,2,3:49,36 of 70,14 of 16,13 of 17,36 of 70,6 of 7,21 of 26
2254,Rustam Khabilov,red,Diego Ferreira,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,43 of 147,44 of 149,0,3 of 12,0,0,1:02,32 of 126,10 of 20,1 of 1,36 of 134,6 of 10,1 of 3
2255,Diego Ferreira,blue,Rustam Khabilov,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,83 of 284,91 of 293,0,0 of 0,1,0,0:13,55 of 237,18 of 36,10 of 11,69 of 264,10 of 15,4 of 5
2256,Damir Ismagulov,red,Joel Alvarez,UFC Fight Night: Blachowicz vs. Santos,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,64 of 150,64 of 150,0,0 of 0,0,0,0:00,25 of 85,30 of 51,9 of 14,64 of 150,0 of 0,0 of 0
2257,Joel Alvarez,blue,Damir Ismagulov,UFC Fight Night: Blachowicz vs. Santos,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,38 of 127,38 of 127,0,0 of 0,0,0,0:00,26 of 107,5 of 11,7 of 9,37 of 126,1 of 1,0 of 0
2258,Francis Ngannou,red,Cain Velasquez,UFC Fight Night: Ngannou vs. Velasquez,W,KO/TKO,ROUND: 1,TIME: 0:26,6 of 10,6 of 10,0,0 of 0,0,0,0:00,6 of 10,0 of 0,0 of 0,3 of 6,1 of 1,2 of 3
2259,Cain Velasquez,blue,Francis Ngannou,UFC Fight Night: Ngannou vs. Velasquez,L,KO/TKO,ROUND: 1,TIME: 0:26,1 of 3,1 of 3,0,0 of 1,0,0,0:02,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0
2260,James Vick,red,Paul Felder,UFC Fight Night: Ngannou vs. Velasquez,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,61 of 121,69 of 129,0,0 of 0,0,0,2:14,24 of 75,16 of 21,21 of 25,57 of 112,4 of 9,0 of 0
