,event,date,location,event_url
172,UFC Fight Night: Chiesa vs. Lee," June 25, 2017"," Oklahoma City, Oklahoma, US",http://ufcstats.com/event-details/99bf06f20491cb54
173,UFC Fight Night: Holm vs. Correia," June 17, 2017"," Kallang, Singapore",http://ufcstats.com/event-details/353de740bb6c7e75
174,UFC Fight Night: Lewis vs. Hunt," June 10, 2017"," Auckland, New Zealand",http://ufcstats.com/event-details/90e7447d8b7f3f35
175,UFC 212: Aldo vs. Holloway," June 03, 2017"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/1507214bbc7a79e2
176,UFC Fight Night: Gustafsson vs. Teixeira," May 28, 2017"," Stockholm, Sweden",http://ufcstats.com/event-details/1c7cce2f5c17160d
177,UFC 211: Miocic vs. Dos Santos," May 13, 2017"," Dallas, Texas, US",http://ufcstats.com/event-details/5df10509264586e5
178,UFC Fight Night: Swanson vs. Lobov," April 22, 2017"," Nashville, Tennessee, US",http://ufcstats.com/event-details/bc7f7f0ba3db74d2
179,UFC on FOX: Johnson vs. Reis," April 15, 2017"," Kansas City, Missouri, US",http://ufcstats.com/event-details/ed069a95aaaf4f56
180,UFC 210: Cormier vs. Johnson 2," April 08, 2017"," Buffalo, New York, US",http://ufcstats.com/event-details/e7bfdb5e0112891e
181,UFC Fight Night: Manuwa vs. Anderson," March 18, 2017"," London, England, United Kingdom",http://ufcstats.com/event-details/c0231720fe516994
182,UFC Fight Night: Belfort vs. Gastelum," March 11, 2017"," Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/47b7e4e60813b7b2
183,UFC 209: Woodley vs. Thompson 2," March 04, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/20e403a1acfef130
184,UFC Fight Night: Lewis vs. Browne," February 19, 2017"," Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/b4ad3a06ee4d660c
185,UFC 208: Holm vs. De Randamie," February 11, 2017"," Brooklyn, New York, US",http://ufcstats.com/event-details/865aa315ea62c511
186,UFC Fight Night: Bermudez vs. The Korean Zombie," February 04, 2017"," Houston, Texas, US",http://ufcstats.com/event-details/6a8a06b542e1516d
187,UFC on FOX: Shevchenko vs. Pena," January 28, 2017"," Denver, Colorado, US",http://ufcstats.com/event-details/4512e46543b960ad
188,UFC Fight Night: Rodriguez vs. Penn," January 15, 2017"," Phoenix, Arizona, US",http://ufcstats.com/event-details/46effbd1135423c5
189,UFC 207: Nunes vs. Rousey," December 30, 2016"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4b2390cfaceb91d8
190,UFC on FOX: VanZant vs. Waterson," December 17, 2016"," Sacramento, California, US",http://ufcstats.com/event-details/32541eb5d12668b4
191,UFC 206: Holloway vs. Pettis," December 10, 2016"," Toronto, Ontario, Canada",http://ufcstats.com/event-details/6e3282d57d2467a0
192,UFC Fight Night: Lewis vs. Abdurakhimov," December 09, 2016"," Albany, New York, US",http://ufcstats.com/event-details/7139cd2ae4bf6a29
