,fight_url
395,http://ufcstats.com/fight-details/024a04f78b37b7d9
396,http://ufcstats.com/fight-details/727ecd251325b6a8
397,http://ufcstats.com/fight-details/db5802643b9fd7d4
398,http://ufcstats.com/fight-details/1720a97a2fa261f8
399,http://ufcstats.com/fight-details/e64075c104471ff0
400,http://ufcstats.com/fight-details/e4d831dc318e4e98
401,http://ufcstats.com/fight-details/22fe6779c3fa649d
402,http://ufcstats.com/fight-details/7c4eb0b4845eb0ed
403,http://ufcstats.com/fight-details/1e525f9857019a2e
404,http://ufcstats.com/fight-details/ee57cbd0b68c689d
405,http://ufcstats.com/fight-details/dfb856d4c80bbf04
406,http://ufcstats.com/fight-details/89dd4c256ca5d317
407,http://ufcstats.com/fight-details/849cc2c331e9b24f
408,http://ufcstats.com/fight-details/dbb5d682a2d7f584
409,http://ufcstats.com/fight-details/0005e00b07cee542
410,http://ufcstats.com/fight-details/ba6093c9136f99e9
411,http://ufcstats.com/fight-details/81b16b26774be5d1
412,http://ufcstats.com/fight-details/c00a8682fb5b71bd
413,http://ufcstats.com/fight-details/1e7caef3f6dfde10
414,http://ufcstats.com/fight-details/24ff0bb908095565
415,http://ufcstats.com/fight-details/f4e262b04f4e94bd
416,http://ufcstats.com/fight-details/15a422574c3b89e1
417,http://ufcstats.com/fight-details/87105c63df95f929
418,http://ufcstats.com/fight-details/ac6b2a5f24c2b8bd
419,http://ufcstats.com/fight-details/d866afa89d62a4ae
420,http://ufcstats.com/fight-details/fd76b75c28dc247a
421,http://ufcstats.com/fight-details/4c12c9085200121f
422,http://ufcstats.com/fight-details/9e674a02db6c03c8
423,http://ufcstats.com/fight-details/e842c6f63fa2e27a
424,http://ufcstats.com/fight-details/5a00c73efbcf323e
425,http://ufcstats.com/fight-details/9f4d6d192ab4a027
426,http://ufcstats.com/fight-details/73dbbdfcf7f989c0
427,http://ufcstats.com/fight-details/eed8c9955cad1e30
428,http://ufcstats.com/fight-details/5fb63c34935acce9
429,http://ufcstats.com/fight-details/8e7b2d62f834b417
430,http://ufcstats.com/fight-details/e10481ee3fda7080
431,http://ufcstats.com/fight-details/ca531425f5c042db
432,http://ufcstats.com/fight-details/c0568b225d5f0fe6
433,http://ufcstats.com/fight-details/498766b46b8b4a7f
434,http://ufcstats.com/fight-details/1a484c452623181e
435,http://ufcstats.com/fight-details/859ca56770ac7672
436,http://ufcstats.com/fight-details/78c3ca588e55bf31
437,http://ufcstats.com/fight-details/36807d8a7ebc84a5
438,http://ufcstats.com/fight-details/aa08ebe1a69c76ca
439,http://ufcstats.com/fight-details/4f3cd94861c6a876
440,http://ufcstats.com/fight-details/bf614956b28f231c
441,http://ufcstats.com/fight-details/36656dfa32341671
442,http://ufcstats.com/fight-details/42ecb9a94bebc24d
443,http://ufcstats.com/fight-details/3a38b0b566f3045d
444,http://ufcstats.com/fight-details/579f3280456ad450
445,http://ufcstats.com/fight-details/0ffbf3096a13b47e
446,http://ufcstats.com/fight-details/1ed8776f978a0155
447,http://ufcstats.com/fight-details/764012f51c7dc223
448,http://ufcstats.com/fight-details/3901d9cdbb0949bc
449,http://ufcstats.com/fight-details/06910bddb0745856
450,http://ufcstats.com/fight-details/c58aaabf2c5635d7
451,http://ufcstats.com/fight-details/cf0e0f95524f187a
452,http://ufcstats.com/fight-details/e1bb0b615c02d715
453,http://ufcstats.com/fight-details/2461756d8acd56d2
454,http://ufcstats.com/fight-details/bcc9dca5136fc765
455,http://ufcstats.com/fight-details/463fc1fd1f17befb
456,http://ufcstats.com/fight-details/ed8fb10b596e6fa4
457,http://ufcstats.com/fight-details/24341a8cf1152c5c
458,http://ufcstats.com/fight-details/0e809b7e37681783
459,http://ufcstats.com/fight-details/0f279b25ccbecc76
460,http://ufcstats.com/fight-details/e8206c7380441fbb
461,http://ufcstats.com/fight-details/7595aabe89020780
462,http://ufcstats.com/fight-details/7930c605c6a6ec88
463,http://ufcstats.com/fight-details/7340b4cbdbac5863
464,http://ufcstats.com/fight-details/1ff4586752ee8a93
465,http://ufcstats.com/fight-details/864cddd6e165ea2d
466,http://ufcstats.com/fight-details/0a9f22de8600c762
467,http://ufcstats.com/fight-details/3a8e4b830750e9d4
468,http://ufcstats.com/fight-details/eb9097be07a3c26a
469,http://ufcstats.com/fight-details/0a7517a16d2d9db6
470,http://ufcstats.com/fight-details/d43c007dab9c51b0
471,http://ufcstats.com/fight-details/c5ba56d51f6b0171
472,http://ufcstats.com/fight-details/16358c536d739017
473,http://ufcstats.com/fight-details/e1e31a8dfa9c27f6
474,http://ufcstats.com/fight-details/dfe14e13aa727a0c
475,http://ufcstats.com/fight-details/5d9a3bfdcd28abb8
476,http://ufcstats.com/fight-details/23e548f618dd0e5f
477,http://ufcstats.com/fight-details/37a6fc5e69a7932d
478,http://ufcstats.com/fight-details/cfa0dbc7534f3545
479,http://ufcstats.com/fight-details/0a3e48cdd97267f4
480,http://ufcstats.com/fight-details/0ccc86f7d0e84c3e
