,hrefs
279,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
280,http://ufcstats.com/fighter-details/e6015889f50075d2
281,http://ufcstats.com/fighter-details/8fd1f27e86661ede
282,http://ufcstats.com/fighter-details/d26394fc0e8e880a
283,http://ufcstats.com/fighter-details/b69f24c500d783e7
284,http://ufcstats.com/fighter-details/658c3465581ae46b
285,http://ufcstats.com/fighter-details/a6f3d15cb84334bb
286,http://ufcstats.com/fighter-details/be0b310a12eb80b4
287,http://ufcstats.com/fighter-details/bbab3baf66128ae2
288,http://ufcstats.com/fighter-details/1cecc8fe6748a532
289,http://ufcstats.com/fighter-details/2c733e059462c1dc
290,http://ufcstats.com/fighter-details/29508aff4d93cbbe
291,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
292,http://ufcstats.com/fighter-details/34218661c44ed55d
293,http://ufcstats.com/fighter-details/c9a94278df042f46
294,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
295,http://ufcstats.com/fighter-details/55f446032177b119
296,http://ufcstats.com/fighter-details/74f13066b1417ef3
297,http://ufcstats.com/fighter-details/4fd76e7ba8313457
298,http://ufcstats.com/fighter-details/b96939f2b8d88e82
299,http://ufcstats.com/fighter-details/93bf96be327fcd98
300,http://ufcstats.com/fighter-details/ce05955c26c3c090
301,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
302,http://ufcstats.com/fighter-details/b16a7e6a627e9789
303,http://ufcstats.com/fighter-details/babc6b5745335f18
304,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
305,http://ufcstats.com/fighter-details/d7e40dca3ae125be
306,http://ufcstats.com/fighter-details/4130a743d9d22163
307,http://ufcstats.com/fighter-details/0ee783aa00e468f0
308,http://ufcstats.com/fighter-details/c3f6db17cea09ca7
309,http://ufcstats.com/fighter-details/46baf0f57edfa4df
310,http://ufcstats.com/fighter-details/ec71a892fada28c7
311,http://ufcstats.com/fighter-details/80eacd4da0617c57
312,http://ufcstats.com/fighter-details/a71feb7ea7592a71
313,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
