,event,date,location,event_url
67,UFC Fight Night: Zabit vs. Kattar," November 09, 2019"," Moscow, Moscow, Russia",http://ufcstats.com/event-details/8d5daf67983b65ba
68,UFC 244: Masvidal vs. Diaz," November 02, 2019"," New York City, New York, US",http://ufcstats.com/event-details/fd87b1bbfcde9d5e
69,UFC Fight Night: Maia vs. Askren," October 26, 2019"," Kallang, Singapore",http://ufcstats.com/event-details/df05aa15b2d66f57
70,UFC Fight Night: Reyes vs. Weidman," October 18, 2019"," Boston, Massachusetts, US",http://ufcstats.com/event-details/3ae10ac4df3df05c
71,UFC Fight Night: Joanna vs. Waterson," October 12, 2019"," Tampa, Florida, US",http://ufcstats.com/event-details/0941df56f6ac954b
72,UFC 243: Whittaker vs. Adesanya," October 05, 2019"," Melbourne, Victoria, Australia",http://ufcstats.com/event-details/3cf68c1d17f66af7
73,UFC Fight Night: Hermansson vs. Cannonier," September 28, 2019"," Copenhagen, Denmark",http://ufcstats.com/event-details/1bf49bf829964144
74,UFC Fight Night: Rodriguez vs. Stephens," September 21, 2019"," Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/94a5aaf573f780ad
75,UFC Fight Night: Cowboy vs. Gaethje," September 14, 2019"," Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/4834ff149dc9542a
76,UFC 242: Khabib vs. Poirier," September 07, 2019"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/a79bfbc01b2264d6
77,UFC Fight Night: Andrade vs. Zhang," August 31, 2019"," Shenzhen, Guangdong, China",http://ufcstats.com/event-details/2c104b7e59a72629
78,UFC 241: Cormier vs. Miocic 2," August 17, 2019"," Anaheim, California, US",http://ufcstats.com/event-details/70167689d6a01793
79,UFC Fight Night: Shevchenko vs. Carmouche 2," August 10, 2019"," Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd
80,UFC Fight Night: Covington vs. Lawler," August 03, 2019"," Newark, New Jersey, US",http://ufcstats.com/event-details/03da33a102d9a45f
81,UFC 240: Holloway vs. Edgar," July 27, 2019"," Edmonton, Alberta, Canada",http://ufcstats.com/event-details/abcf7e55a0a9ed89
82,UFC Fight Night: Dos Anjos vs. Edwards," July 20, 2019"," San Antonio, Texas, US",http://ufcstats.com/event-details/9e0f28d1f639ad73
83,UFC Fight Night: De Randamie vs. Ladd," July 13, 2019"," Sacramento, California, US",http://ufcstats.com/event-details/2f8f3c69522db931
84,UFC 239: Jones vs. Santos," July 06, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6c9383ffab2725a5
85,UFC Fight Night: Ngannou vs. Dos Santos," June 29, 2019"," Minneapolis, Minnesota, US",http://ufcstats.com/event-details/c0c1bc0766df4c00
86,UFC Fight Night: Moicano vs. The Korean Zombie," June 22, 2019"," Greenville, South Carolina, US",http://ufcstats.com/event-details/b16a7e6a627e9789
87,UFC 238: Cejudo vs. Moraes," June 08, 2019"," Chicago, Illinois, US",http://ufcstats.com/event-details/e31502e3f79d00c5
88,UFC Fight Night: Gustafsson vs. Smith," June 01, 2019"," Stockholm, Sweden",http://ufcstats.com/event-details/cbc071cb20ea59c7
89,UFC Fight Night: Dos Anjos vs. Lee," May 18, 2019"," Rochester, New York, US",http://ufcstats.com/event-details/6b8f28da9a483049
90,UFC 237: Namajunas vs. Andrade," May 11, 2019"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/9de7c97e1c0d7927
91,UFC Fight Night: Iaquinta vs. Cowboy," May 04, 2019"," Ottawa, Ontario, Canada",http://ufcstats.com/event-details/351264d11286d09a
92,UFC Fight Night: Jacare vs. Hermansson," April 27, 2019"," Sunrise, Florida, US",http://ufcstats.com/event-details/c912f676692c353a
93,UFC Fight Night: Overeem vs. Oleinik," April 20, 2019"," Saint Petersburg, Saint Petersburg, Russia",http://ufcstats.com/event-details/7dcf06c1967801c1
94,UFC 236: Holloway vs. Poirier 2," April 13, 2019"," Atlanta, Georgia, US",http://ufcstats.com/event-details/b0550072e5f0afa7
